"municipio","secciones","casillas"
"ABASOLO",50,118
"ACAMBARO",90,177
"APASEO EL ALTO",44,94
"APASEO EL GRANDE",43,119
"ATARJEA",5,11
"CELAYA",247,642
"COMONFORT",43,106
"CORONEO",10,18
"CORTAZAR",55,132
"CUERAMARO",21,41
"DOCTOR MORA",12,32
"DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL",71,195
"GUANAJUATO",102,248
"HUANIMARO",13,29
"IRAPUATO",249,712
"JARAL DEL PROGRESO",26,51
"JERECUARO",56,82
"LEON",736,1941
"MANUEL DOBLADO",42,65
"MOROLEON",35,78
"OCAMPO",18,37
"PENJAMO",114,230
"PUEBLO NUEVO",8,21
"PURISIMA DEL RINCON",25,90
"ROMITA",50,91
"SALAMANCA",154,369
"SALVATIERRA",84,159
"SAN DIEGO DE LA UNION",28,53
"SAN FELIPE",71,150
"SAN FRANCISCO DEL RINCON",59,161
"SAN JOSE ITURBIDE",38,104
"SAN LUIS DE LA PAZ",57,154
"SAN MIGUEL DE ALLENDE",103,234
"SANTA CATARINA",5,10
"SANTA CRUZ DE JUVENTINO ROSAS",36,103
"SANTIAGO MARAVATIO",10,13
"SILAO DE LA VICTORIA",78,232
"TARANDACUAO",12,20
"TARIMORO",34,62
"TIERRA BLANCA",10,23
"URIANGATO",26,84
"VALLE DE SANTIAGO",75,209
"VICTORIA",15,29
"VILLAGRAN",28,79
"XICHU",14,23
"YURIRIA",57,114
